Label,CDtot,CDinmix,CDpure
13CO2,2.049254e+16,2.049254e+16,0.0
CH3OH,6.567667e+17,6.567667e+17,0.0
CH4,8.414707e+16,8.414707e+16,0.0
CO,2.9556105e+18,2.92475e+18,3.08605e+16
CO2,1.244144e+18,1.244144e+18,0.0
H2O,6.907438e+18,6.907438e+18,0.0
NH3,2.688124e+17,2.688124e+17,0.0
