Label,CDtot,CDinmix,CDpure
13CO2,2.012827e+16,2.012827e+16,0.0
CH3OH,6.485508e+17,6.485508e+17,0.0
CH4,8.347178e+16,8.347178e+16,0.0
CO,2.91305986e+18,2.882853e+18,3.020686e+16
CO2,1.222028e+18,1.222028e+18,0.0
H2O,6.81513e+18,6.81513e+18,0.0
NH3,2.639565e+17,2.639565e+17,0.0
