Wavelength,H2O_NH3_Schutte,H2O_CH3OH_8p,pyroxene,CO_CO2_15Kbs,CO,olivine,H2O_CH4_10_06_a_V3,CO_CH3OH_4_1_15K_bs,all
2.70028,0.0237944336,0.0096712344,0.02121,0.1228418055,-0.0002176,0.003905,0.02883,0.001756646,0.2117915195
2.701647,0.0236551138,0.0108054864,0.02121,0.0059649589999999,0.000498355,0.003905,0.011938503,0.0018045189999999,0.0797819362
2.703014,0.023347222,0.0127784676,0.02121,0.0023150715,0.0001470925,0.003905,0.013296396,0.0018133119999999,0.0788125616
2.704381,0.022858859,0.0129019235999999,0.02121,0.001388447,0.00037995,0.003905,0.0144311448,0.0019500919999999,0.0790254164
2.705747,0.022001125,0.0125531603999999,0.02121,0.0100319765,-0.0002120325,0.003905,0.0152124378,0.002095665,0.0867973322
2.707114,0.0213550976,0.0118224552,0.02121,-0.000905768,0.0001702975,0.003905,0.0161078976,0.0021318139999999,0.0757967938999999
2.708481,0.0206113976,0.009922776,0.02121,0.0097131699999999,-0.0007514,0.003905,0.016459047,0.0022470999999999,0.0833170906
2.709848,0.0201949256,0.0082144536,0.02121,-0.0063135604999999,0.000136765,0.003905,0.0171463542,0.002172848,0.0666667859
2.711215,0.01990637,0.00889269,0.02121,-0.0075113194999999,-0.0003697075,0.003905,0.0170108532,0.002363363,0.0654072492
2.712582,0.0196098816,0.0119065596,0.02121,0.0013437545,-0.00074443,0.003905,0.016502292,0.0022343989999999,0.0759674567
2.713949,0.0197199492,0.0122429771999999,0.02121,-0.0043798649999999,-0.00018411,0.003905,0.0174381138,0.0021494,0.0721014651999999
2.715315,0.0196554952,0.0118178256,0.02121,0.0014331395,3.1025e-05,0.003905,0.017286468,0.0023799719999999,0.0777189252999999
2.716682,0.0202152534,0.0113124276,0.02121,0.0146025295,-0.0001640075,0.003905,0.0175638126,0.002473764,0.0911187796
2.718049,0.0204130776,0.0104459208,0.02121,0.0007299774999999,0.0001394,0.003905,0.018258039,0.002743416,0.0778448309
2.719416,0.0211071976,0.0083271072,0.02121,-0.024187581,-5.780000000000001e-05,0.003905,0.018984555,0.003488867,0.0527773458
