name,freq
CO:CH$_3$OH:4:1:15K:bs,1.0
pyroxene,1.0
olivine,1.0
H$_2$O:NH$_3$:Schutte,1.0
CO,1.0
H$_2$O:CH$_3$OH:8p,1.0
H$_2$O:CH$_4$:10:06:a:,1.0
CO:CO$_2$:15Kbs,1.0
